Country Name,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Japan,8.72,9.25,9.58,10.25,11.36,11.28,10.98,11.48,11.7,11.43,12.32,13.31,14.07,13.34
"Korea, Rep.",13.43693029,13.85096763,14.0775915,13.63062344,13.24116166,13.15814434,13.98195298,14.49381853,15.53638373,15.19956653,14.86125767,16.73473394,18.44457967,
Lithuania,16.17873616,15.60733212,15.6092591,15.67525884,15.9107923,16.65249493,16.96176442,16.65133475,16.62603797,19.86024031,19.83198038,21.20323865,21.09771864,
Luxembourg,23.81784044,23.98704785,24.42782715,24.55226696,24.74515711,23.32185937,23.76750967,24.51814705,26.64459391,26.46621709,25.25506566,25.86550657,25.97288112,
Latvia,20.06644132,21.29580753,21.89478947,22.53413566,22.85636519,23.16902712,24.34161039,24.35247041,23.63762616,22.06518614,22.5622271,22.87163319,24.23025912,
Mexico,9.675317453,9.617072146,9.352411062,9.883610123,10.24285504,12.34597578,13.12378561,12.68743173,12.7121573,12.78774861,13.89751345,13.41126212,13.42811107,14.26659801
Netherlands,20.86102808,20.05509037,19.25248241,19.54108302,20.42152758,20.88318375,21.54504114,22.69461325,22.66723233,23.56119248,23.77817488,23.93079468,23.2559216,
Norway,26.74376696,27.5519417,26.87254323,25.01013644,23.41203172,22.08854882,21.96037593,22.29004036,23.31360593,23.2830044,21.25318677,25.50276589,31.27327577,
New Zealand,26.15230007,25.66662911,26.90944578,26.71564067,26.85051442,27.41171588,27.27716624,27.3310425,27.48216205,28.16977482,27.3768537,29.0601312,29.93385652,
Poland,16.53702355,16.66968256,16.00525692,15.67425911,15.62719823,15.61359532,16.20902913,16.73557568,17.18482185,17.14590206,17.29114409,18.93415712,17.12346615,
Portugal,19.61555329,21.10675075,20.74019358,22.63774313,22.63001062,22.8294267,22.34506097,22.42071337,22.67395353,22.18926024,21.96463556,22.0220187,22.8949896,
Slovak Republic,15.01192506,16.00429812,15.4996174,16.6592069,17.38846665,18.05151735,18.01278076,18.50239117,18.46432442,18.76044211,18.46447556,18.96252033,19.43960539,
Slovenia,18.21414506,17.97319536,18.02627893,18.10501834,18.34594705,18.66623979,18.80664247,18.50412563,18.68941028,18.85073183,17.3089221,18.68229271,18.17641464,
Sweden,27.56963124,26.79857538,26.43508733,26.59050185,26.7091995,27.32104605,28.19905913,28.3863059,28.11887167,27.50079816,26.82224459,27.39864546,27.60475284,
United States,8.56322203,9.538928617,9.763917369,10.46022545,10.89974817,11.18282796,10.85451499,11.50388673,9.929538941,9.885825346,10.19630464,11.25882584,12.05483292,10.22380669
