Country,CCode,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Latvia,LVA,"14,185.30","14,981.20","15,309.80","15,598.50","16,560.10","17,871.30","19,269.70","20,927.30","22,660.80","24,272.80","26,301.10","28,286.60","30,013.90","31,771.90","35,043.40"
Lithuania,LTU,"14,689.00","14,954.20","15,377.00","16,061.30","17,384.80","18,336.70","19,340.70","21,370.30","23,074.70","24,994.40","35,228.90","37,958.30","40,545.30","43,510.10","46,124.20"
Luxembourg,LUX,"53,359.50","53,351.40","55,987.50","57,313.20","59,904.80","62,117.00","63,384.20","66,261.80","68,651.80","70,368.00","72,360.20","75,239.80","76,283.60","81,234.10","83,740.80"
Mexico,MEX,"11,439.70","11,416.10","11,910.10","12,117.10","12,546.60","12,833.00","12,915.00","13,231.50","13,131.10","13,387.30","13,777.00","13,780.00","14,765.60","16,549.40","16,844.70"
Netherlands,NLD,"52,352.00","52,939.40","55,362.90","56,610.30","60,075.20","59,792.40","61,162.10","63,008.50","65,013.10","66,418.10","68,036.00","71,666.50","73,146.20","76,965.00","78,200.50"
New Zealand,NZL,"31,693.00","32,072.70","33,316.90","34,466.60","36,964.60","38,187.60","38,183.70","40,372.40","41,638.50","41,684.70","44,589.90","45,977.10","45,203.60","48,204.20","51,149.00"
Norway,NOR,"50,222.70","51,541.90","54,066.50","55,829.40","58,131.20","57,970.90","55,743.20","56,036.30","58,678.40","61,652.00","63,682.10","63,651.70","69,281.90","77,626.30","82,880.00"
Poland,POL,"18,659.90","20,212.70","21,500.20","22,383.80","23,638.40","25,189.30","26,137.70","27,531.50","29,273.40","31,349.30","33,994.10","38,207.40","36,820.50","40,301.30","42,695.80"
Portugal,PRT,"24,888.30","26,545.60","26,012.60","28,146.80","30,214.90","29,908.30","29,693.50","30,761.10","31,233.30","32,702.30","35,029.30","35,663.40","36,779.30","39,692.00","41,047.50"
Slovak Republic,SVK,"17,972.50","19,104.50","19,611.50","20,074.70","20,977.30","22,108.00","22,343.60","22,471.30","22,741.80","23,679.30","25,416.60","25,806.60","27,067.90","28,388.60","29,871.90"
Slovenia,SVN,"24,910.70","26,514.90","27,842.10","28,902.80","29,933.60","30,356.70","30,391.50","31,775.80","33,042.20","34,476.00","36,701.60","38,475.90","39,553.50","42,266.80","45,465.50"
Spain,ESP,"33,623.30","34,095.20","35,729.30","37,259.20","38,569.50","39,541.70","39,828.10","41,156.20","42,086.50","42,611.40","44,524.80","41,890.40","44,045.90","47,318.50","48,836.40"
Sweden,SWE,"40,612.60","40,798.30","42,549.40","44,826.20","46,317.10","46,772.30","46,768.40","48,167.60","49,232.80","50,482.20","52,249.20","53,548.70","54,609.10","56,425.40","57,235.10"
Switzerland,CHE,"57,015.40","58,021.90","61,283.20","65,996.50","68,826.80","67,734.90","70,006.90","74,178.60","75,457.40","76,853.50","80,092.60","82,608.50","88,044.50","96,344.50","100,048.40"
Türkiye,TUR,"18,152.40","19,585.90","20,397.90","21,545.20","23,053.50","24,886.30","26,832.10","30,101.10","29,920.20","30,017.60","33,176.40","33,699.80","30,984.20","31,936.00","46,011.50"
United Kingdom,GBR,"47,025.20","48,836.70","48,272.60","49,689.70","50,468.30","50,283.20","51,950.00","53,880.10","56,267.80","57,619.80","60,326.80","58,313.80","62,761.40","65,839.80","69,143.50"
United States,USA,"44,295.00","45,665.00","46,895.00","47,746.00","48,774.00","50,099.00","50,963.00","51,945.00","53,375.90","55,058.00","56,577.00","59,517.00","62,172.50","64,844.80","67,264.30"
