Country Name,Year,Government Expenditure,US_dollars_at_current_prices_in_millions_Value,,
Afghanistan,2014,Public order and safety,2581,,
Afghanistan,2014,"Recreation, culture and religion",50,,
Afghanistan,2015,Total function,11106,,
Afghanistan,2015,Environment protection,18,,
Afghanistan,2015,Housing and community amenities,58,,
Afghanistan,2015,Health,302,,
Afghanistan,2015,Education,809,,
Afghanistan,2015,Social protection,293,,
Afghanistan,2015,General public services,562,,
Afghanistan,2015,Defence,5122,,
Afghanistan,2015,Public order and safety,2547,,
Afghanistan,2015,"Recreation, culture and religion",43,,
Afghanistan,2016,Total function,9299,,
Afghanistan,2016,"Agriculture, forestry, fishing and hunting",312,,
Afghanistan,2016,"Mining, manufacturing and construction",38,,
Afghanistan,2016,Transport,468,,
Afghanistan,2016,Communication,39,,
Afghanistan,2016,Fuel and energy,233,,
Afghanistan,2016,Environment protection,25,,
Afghanistan,2016,Housing and community amenities,255,,
Afghanistan,2016,Health,365,,
Afghanistan,2016,Education,768,,
Afghanistan,2016,Social protection,508,,
Afghanistan,2016,General public services,631,,
Afghanistan,2016,Defence,3469,,
Afghanistan,2016,Public order and safety,1741,,
Afghanistan,2016,"Recreation, culture and religion",56,,
Afghanistan,2016,"General economic, commercial and labour affairs",187,,
Afghanistan,2016,Other industries,198,,
Afghanistan,2016,RandD Economic affairs,8,,
Afghanistan,2016,Economic affairs n.e.c.,0,,
Afghanistan,2017,Total function,9096,,
Afghanistan,2017,"Agriculture, forestry, fishing and hunting",288,,
Afghanistan,2017,"Mining, manufacturing and construction",31,,
Afghanistan,2017,Transport,399,,
Afghanistan,2017,Communication,50,,
Afghanistan,2017,Fuel and energy,327,,
Afghanistan,2017,Environment protection,35,,
Afghanistan,2017,Housing and community amenities,122,,
Afghanistan,2017,Health,406,,
Afghanistan,2017,Education,746,,
Afghanistan,2017,Social protection,374,,
Afghanistan,2017,General public services,528,,
Afghanistan,2017,Defence,3303,,
Afghanistan,2017,Public order and safety,1781,,
Afghanistan,2017,"Recreation, culture and religion",60,,
Afghanistan,2017,"General economic, commercial and labour affairs",415,,
Afghanistan,2017,Other industries,217,,
Afghanistan,2017,RandD Economic affairs,13,,
Afghanistan,2017,Economic affairs n.e.c.,0,,
Albania,2005,Total function,2324,,
Albania,2005,"Agriculture, forestry, fishing and hunting",50,,
Albania,2005,"Mining, manufacturing and construction",0,,
Albania,2005,Transport,187,,
Albania,2005,Communication,0,,
Albania,2005,Fuel and energy,25,,
Albania,2005,Environment protection,0,,
Albania,2005,Housing and community amenities,141,,
Albania,2005,Health,216,,
Albania,2005,Education,264,,
Albania,2005,Social protection,610,,
Albania,2005,General public services,573,,
Albania,2005,Defence,84,,
Albania,2005,Public order and safety,142,,
Albania,2005,"Recreation, culture and religion",31,,
Albania,2005,"General economic, commercial and labour affairs",0,,
Albania,2005,Other industries,0,,
Albania,2005,RandD Economic affairs,0,,
Albania,2005,Economic affairs n.e.c.,0,,
Albania,2006,Total function,2637,,
Albania,2006,"Agriculture, forestry, fishing and hunting",57,,
Albania,2006,"Mining, manufacturing and construction",0,,
Albania,2006,Transport,311,,
Albania,2006,Communication,0,,
Albania,2006,Fuel and energy,34,,
Albania,2006,Environment protection,0,,
Albania,2006,Housing and community amenities,149,,
Albania,2006,Health,217,,
Albania,2006,Education,284,,
Albania,2006,Social protection,701,,
Albania,2006,General public services,569,,
Albania,2006,Defence,117,,
Albania,2006,Public order and safety,165,,
Albania,2006,"Recreation, culture and religion",33,,
Albania,2006,"General economic, commercial and labour affairs",0,,
Albania,2006,Other industries,0,,
Albania,2006,RandD Economic affairs,0,,
Albania,2006,Economic affairs n.e.c.,0,,
Albania,2007,Total function,3158,,
Albania,2007,Environment protection,1,,
Albania,2007,Housing and community amenities,140,,
Albania,2007,Health,267,,
Albania,2007,Education,350,,
Albania,2007,Social protection,856,,
Albania,2007,General public services,601,,
Albania,2007,Defence,127,,
Albania,2007,Public order and safety,168,,
Albania,2007,"Recreation, culture and religion",36,,
Albania,2008,Total function,4189,,
Albania,2008,Environment protection,2,,
Albania,2008,Housing and community amenities,197,,
Albania,2008,Health,318,,
Albania,2008,Education,452,,
Albania,2008,Social protection,1026,,
Albania,2008,General public services,854,,
Albania,2008,Defence,143,,
Albania,2008,Public order and safety,193,,
Albania,2008,"Recreation, culture and religion",48,,
Albania,2010,Total function,3544,,
Albania,2010,Environment protection,1,,
Albania,2010,Housing and community amenities,225,,
Albania,2010,Health,314,,
Albania,2010,Education,407,,
Albania,2010,Social protection,982,,
Albania,2010,General public services,699,,
Albania,2010,Defence,128,,
Albania,2010,Public order and safety,186,,
Albania,2010,"Recreation, culture and religion",38,,
Albania,2011,Total function,3760,,
Albania,2011,"Agriculture, forestry, fishing and hunting",62,,
Albania,2011,"Mining, manufacturing and construction",3,,
Albania,2011,Transport,446,,
Albania,2011,Communication,0,,
Albania,2011,Fuel and energy,0,,
Albania,2011,Environment protection,7,,
Albania,2011,Housing and community amenities,235,,
Albania,2011,Health,349,,
Albania,2011,Education,418,,
Albania,2011,Social protection,1065,,
Albania,2011,General public services,774,,
Albania,2011,Defence,126,,
Albania,2011,Public order and safety,208,,
Albania,2011,"Recreation, culture and religion",45,,
Albania,2011,"General economic, commercial and labour affairs",18,,
Albania,2011,Other industries,1,,
Albania,2011,RandD Economic affairs,2,,
Albania,2011,Economic affairs n.e.c.,1,,
Albania,2012,Total function,3506,,
Albania,2012,"Agriculture, forestry, fishing and hunting",55,,
Albania,2012,"Mining, manufacturing and construction",3,,
Albania,2012,Transport,351,,
Albania,2012,Communication,0,,
Albania,2012,Fuel and energy,19,,
Albania,2012,Environment protection,4,,
Albania,2012,Housing and community amenities,211,,
Albania,2012,Health,346,,
Albania,2012,Education,408,,
Albania,2012,Social protection,1055,,
Albania,2012,General public services,676,,
Albania,2012,Defence,118,,
Albania,2012,Public order and safety,196,,
Albania,2012,"Recreation, culture and religion",44,,
Albania,2012,"General economic, commercial and labour affairs",17,,
Albania,2012,Other industries,1,,
Albania,2012,RandD Economic affairs,2,,
Albania,2012,Economic affairs n.e.c.,1,,
Albania,2013,Total function,3715,,
Albania,2013,"Agriculture, forestry, fishing and hunting",65,,
Albania,2013,"Mining, manufacturing and construction",2,,
Albania,2013,Transport,461,,
Albania,2013,Communication,0,,
Albania,2013,Environment protection,6,,
Albania,2013,Housing and community amenities,233,,
Albania,2013,Health,358,,
Albania,2013,Education,430,,
Albania,2013,Social protection,1169,,
Albania,2013,General public services,773,,
Albania,2013,Defence,127,,
Albania,2013,Public order and safety,195,,
Albania,2013,"Recreation, culture and religion",39,,
Albania,2013,"General economic, commercial and labour affairs",9,,
Albania,2013,Other industries,1,,
Albania,2013,RandD Economic affairs,2,,
Albania,2013,Economic affairs n.e.c.,2,,
Albania,2014,Total function,3873,,
Albania,2014,"Agriculture, forestry, fishing and hunting",67,,
Albania,2014,"Mining, manufacturing and construction",5,,
Albania,2014,Transport,288,,
Albania,2014,Communication,0,,
Albania,2014,Fuel and energy,56,,
Albania,2014,Environment protection,9,,
Albania,2014,Housing and community amenities,285,,
Albania,2014,Health,363,,
Albania,2014,Education,426,,
Albania,2014,Social protection,1221,,
Albania,2014,General public services,734,,
Albania,2014,Defence,108,,
Albania,2014,Public order and safety,224,,
Albania,2014,"Recreation, culture and religion",56,,
Albania,2014,"General economic, commercial and labour affairs",12,,
Albania,2014,Other industries,1,,
Albania,2014,RandD Economic affairs,2,,
Albania,2014,Economic affairs n.e.c.,15,,
Albania,2015,Total function,3375,,
Albania,2015,"Agriculture, forestry, fishing and hunting",66,,
Albania,2015,"Mining, manufacturing and construction",6,,
Albania,2015,Transport,285,,
Albania,2015,Communication,0,,
Albania,2015,Fuel and energy,59,,
Albania,2015,Environment protection,11,,
Albania,2015,Housing and community amenities,220,,
Albania,2015,Health,312,,
Albania,2015,Education,352,,
Albania,2015,Social protection,1041,,
Albania,2015,General public services,638,,
Albania,2015,Defence,82,,
Albania,2015,Public order and safety,199,,
Albania,2015,"Recreation, culture and religion",51,,
Albania,2015,"General economic, commercial and labour affairs",9,,
Albania,2015,Other industries,1,,
Albania,2015,RandD Economic affairs,2,,
Albania,2015,Economic affairs n.e.c.,41,,
Albania,2016,Total function,3427,,
Albania,2016,"Agriculture, forestry, fishing and hunting",101,,
Albania,2016,"Mining, manufacturing and construction",6,,
Albania,2016,Transport,235,,
Albania,2016,Communication,0,,
Albania,2016,Fuel and energy,4,,
Albania,2016,Environment protection,22,,
Albania,2016,Housing and community amenities,204,,
Albania,2016,Health,337,,
Albania,2016,Education,371,,
Albania,2016,Social protection,1122,,
Albania,2016,General public services,673,,
Albania,2016,Defence,83,,
Albania,2016,Public order and safety,205,,
Albania,2016,"Recreation, culture and religion",51,,
Albania,2016,"General economic, commercial and labour affairs",9,,
Albania,2016,Other industries,2,,
Albania,2016,RandD Economic affairs,1,,
Albania,2016,Economic affairs n.e.c.,1,,
Albania,2017,Total function,3806,,
Albania,2017,"Agriculture, forestry, fishing and hunting",84,,
Albania,2017,"Mining, manufacturing and construction",6,,
Albania,2017,Transport,314,,
Albania,2017,Communication,0,,
Albania,2017,Fuel and energy,25,,
Albania,2017,Environment protection,24,,
Albania,2017,Housing and community amenities,295,,
Albania,2017,Health,381,,
Albania,2017,Education,402,,
Albania,2017,Social protection,1210,,
Albania,2017,General public services,670,,
Albania,2017,Defence,92,,
Albania,2017,Public order and safety,224,,
Albania,2017,"Recreation, culture and religion",54,,
Albania,2017,"General economic, commercial and labour affairs",7,,
Albania,2017,Other industries,2,,
Albania,2017,RandD Economic affairs,2,,
Albania,2017,Economic affairs n.e.c.,13,,
Albania,2018,Total function,4356,,
Albania,2018,"Agriculture, forestry, fishing and hunting",96,,
Albania,2018,"Mining, manufacturing and construction",7,,
Albania,2018,Transport,307,,
Albania,2018,Communication,0,,
Albania,2018,Fuel and energy,1,,
Albania,2018,Environment protection,13,,
Albania,2018,Housing and community amenities,354,,
Albania,2018,Health,454,,
Albania,2018,Education,478,,
Albania,2018,Social protection,1400,,
Albania,2018,General public services,795,,
Albania,2018,Defence,103,,
Albania,2018,Public order and safety,264,,
Albania,2018,"Recreation, culture and religion",68,,
Albania,2018,"General economic, commercial and labour affairs",10,,
Albania,2018,Other industries,3,,
Albania,2018,RandD Economic affairs,2,,
Albania,2018,Economic affairs n.e.c.,2,,
Albania,2019,Total function,4446,,
Albania,2019,"Agriculture, forestry, fishing and hunting",79,,
Albania,2019,"Mining, manufacturing and construction",5,,
Albania,2019,Transport,309,,
Albania,2019,Communication,0,,
Albania,2019,Fuel and energy,19,,
Albania,2019,Environment protection,28,,
Albania,2019,Housing and community amenities,333,,
Albania,2019,Health,466,,
Albania,2019,Education,507,,
Albania,2019,Social protection,1447,,
Albania,2019,General public services,764,,
Albania,2019,Defence,121,,
Albania,2019,Public order and safety,281,,
Albania,2019,"Recreation, culture and religion",67,,
Albania,2019,"General economic, commercial and labour affairs",9,,
Albania,2019,Other industries,6,,
Albania,2019,RandD Economic affairs,4,,
Albania,2019,Economic affairs n.e.c.,2,,
Albania,2020,Total function,4918,,
Albania,2020,"Agriculture, forestry, fishing and hunting",110,,
Albania,2020,"Mining, manufacturing and construction",6,,
Albania,2020,Transport,341,,
Albania,2020,Communication,0,,
Albania,2020,Fuel and energy,2,,
Albania,2020,Environment protection,49,,
Albania,2020,Housing and community amenities,476,,
Albania,2020,Health,475,,
Albania,2020,Education,498,,
Albania,2020,Social protection,1636,,
Albania,2020,General public services,767,,
Albania,2020,Defence,116,,
Albania,2020,Public order and safety,298,,
Albania,2020,"Recreation, culture and religion",63,,
Albania,2020,"General economic, commercial and labour affairs",10,,
Albania,2020,Other industries,7,,
Albania,2020,RandD Economic affairs,4,,
Albania,2020,Economic affairs n.e.c.,60,,
Albania,2021,Total function,5737,,
Albania,2021,"Agriculture, forestry, fishing and hunting",146,,
Albania,2021,"Mining, manufacturing and construction",6,,
Albania,2021,Transport,437,,
Albania,2021,Communication,2,,
Albania,2021,Fuel and energy,9,,
Albania,2021,Environment protection,53,,
Albania,2021,Housing and community amenities,635,,
Albania,2021,Health,614,,
Albania,2021,Education,564,,
Albania,2021,Social protection,1746,,
Albania,2021,General public services,879,,
Albania,2021,Defence,136,,
Albania,2021,Public order and safety,335,,
Albania,2021,"Recreation, culture and religion",73,,
Albania,2021,"General economic, commercial and labour affairs",10,,
Albania,2021,Other industries,5,,
Albania,2021,RandD Economic affairs,59,,
Albania,2021,Economic affairs n.e.c.,29,,
Armenia,2004,Total function,728,,
Armenia,2005,Total function,1041,,
Armenia,2006,Total function,1358,,
Armenia,2007,Total function,2162,,
Armenia,2008,Total function,2853,,
Armenia,2009,Total function,2699,,
Armenia,2010,Total function,2699,,
Armenia,2011,Total function,2882,,
Armenia,2012,Total function,2715,,
Armenia,2013,Total function,2899,,
Armenia,2013,"Agriculture, forestry, fishing and hunting",52,,
Armenia,2013,"Mining, manufacturing and construction",0,,
Armenia,2013,Transport,153,,
Armenia,2013,Communication,1,,
Armenia,2013,Fuel and energy,156,,
Armenia,2013,Environment protection,39,,
Armenia,2013,Housing and community amenities,78,,
Armenia,2013,Health,159,,
Armenia,2013,Education,254,,
Armenia,2013,Social protection,734,,
Armenia,2013,General public services,547,,
Armenia,2013,Defence,444,,
Armenia,2013,Public order and safety,223,,
Armenia,2013,"Recreation, culture and religion",65,,
Armenia,2013,"General economic, commercial and labour affairs",7,,
Armenia,2013,Other industries,0,,
Armenia,2013,RandD Economic affairs,2,,
Armenia,2014,Total function,3216,,
Armenia,2015,Total function,3124,,
Armenia,2016,Total function,3199,,
Armenia,2017,Total function,3177,,
Armenia,2017,"Agriculture, forestry, fishing and hunting",90,,
Armenia,2017,"Mining, manufacturing and construction",0,,
Armenia,2017,Transport,125,,
Armenia,2017,Communication,1,,
Armenia,2017,Fuel and energy,22,,
Armenia,2017,Environment protection,38,,
Armenia,2017,Housing and community amenities,44,,
Armenia,2017,Health,176,,
Armenia,2017,Education,282,,
Armenia,2017,Social protection,847,,
Armenia,2017,General public services,604,,
Armenia,2017,Defence,610,,
Armenia,2017,Public order and safety,254,,
Armenia,2017,"Recreation, culture and religion",77,,
Armenia,2017,"General economic, commercial and labour affairs",8,,
Armenia,2017,Other industries,0,,
Armenia,2017,RandD Economic affairs,1,,
Armenia,2018,Total function,3127,,
Armenia,2018,"Agriculture, forestry, fishing and hunting",58,,
Armenia,2018,"Mining, manufacturing and construction",0,,
Armenia,2018,Transport,170,,
Armenia,2018,Communication,1,,
Armenia,2018,Fuel and energy,35,,
Armenia,2018,Environment protection,47,,
Armenia,2018,Housing and community amenities,45,,
Armenia,2018,Health,170,,
Armenia,2018,Education,281,,
Armenia,2018,Social protection,862,,
Armenia,2018,General public services,626,,
Armenia,2018,Defence,494,,
Armenia,2018,Public order and safety,255,,
Armenia,2018,"Recreation, culture and religion",75,,
Armenia,2018,"General economic, commercial and labour affairs",9,,
Armenia,2018,Other industries,1,,
Armenia,2018,RandD Economic affairs,1,,
Armenia,2019,Total function,3501,,
Armenia,2019,"Agriculture, forestry, fishing and hunting",70,,
Armenia,2019,"Mining, manufacturing and construction",0,,
Armenia,2019,Transport,175,,
Armenia,2019,Communication,1,,
Armenia,2019,Fuel and energy,14,,
Armenia,2019,Environment protection,46,,
Armenia,2019,Housing and community amenities,62,,
Armenia,2019,Health,208,,
Armenia,2019,Education,350,,
Armenia,2019,Social protection,912,,
Armenia,2019,General public services,619,,
Armenia,2019,Defence,657,,
Armenia,2019,Public order and safety,299,,
Armenia,2019,"Recreation, culture and religion",85,,
Armenia,2019,"General economic, commercial and labour affairs",8,,
Armenia,2019,Other industries,1,,
Armenia,2019,RandD Economic affairs,1,,
Armenia,2020,Total function,3936,,
Armenia,2020,"Agriculture, forestry, fishing and hunting",69,,
Armenia,2020,"Mining, manufacturing and construction",0,,
Armenia,2020,Transport,204,,
Armenia,2020,Communication,1,,
Armenia,2020,Fuel and energy,3,,
Armenia,2020,Environment protection,43,,
Armenia,2020,Housing and community amenities,46,,
Armenia,2020,Health,301,,
Armenia,2020,Education,377,,
Armenia,2020,Social protection,1073,,
Armenia,2020,General public services,626,,
Armenia,2020,Defence,793,,
Armenia,2020,Public order and safety,310,,
Armenia,2020,"Recreation, culture and religion",74,,
Armenia,2020,"General economic, commercial and labour affairs",35,,
Armenia,2020,Other industries,0,,
Armenia,2020,RandD Economic affairs,1,,
Armenia,2021,Total function,4063,,
Armenia,2021,"Agriculture, forestry, fishing and hunting",96,,
Armenia,2021,"Mining, manufacturing and construction",0,,
Armenia,2021,Transport,256,,
Armenia,2021,Communication,1,,
Armenia,2021,Fuel and energy,7,,
Armenia,2021,Environment protection,50,,
Armenia,2021,Housing and community amenities,51,,
Armenia,2021,Health,318,,
Armenia,2021,Education,393,,
Armenia,2021,Social protection,1151,,
Armenia,2021,General public services,683,,
Armenia,2021,Defence,667,,
Armenia,2021,Public order and safety,318,,
Armenia,2021,"Recreation, culture and religion",82,,
Armenia,2021,"General economic, commercial and labour affairs",34,,
Armenia,2021,Other industries,0,,
Armenia,2021,RandD Economic affairs,2,,
Australia,2000,Total function,153123,,
Australia,2000,"Agriculture, forestry, fishing and hunting",2196,,
Australia,2000,"Mining, manufacturing and construction",905,,
Australia,2000,Transport,11417,,
Australia,2000,Fuel and energy,2251,,
Australia,2000,Environment protection,2052,,
Australia,2000,Housing and community amenities,2530,,
Australia,2000,Health,24072,,
Australia,2000,Education,23067,,
Australia,2000,Social protection,43607,,
Australia,2000,General public services,20083,,
Australia,2000,Defence,8058,,
Australia,2000,Public order and safety,6841,,
Australia,2000,"Recreation, culture and religion",4097,,
Australia,2000,"General economic, commercial and labour affairs",828,,
Australia,2000,Other industries,332,,
Australia,2000,RandD Economic affairs,36,,
Australia,2000,Economic affairs n.e.c.,1226,,
Australia,2001,Total function,145149,,
Australia,2001,"Agriculture, forestry, fishing and hunting",2024,,
Australia,2001,"Mining, manufacturing and construction",1508,,
Australia,2001,Transport,10073,,
Australia,2001,Communication,289,,
Australia,2001,Fuel and energy,2169,,
Australia,2001,Environment protection,2068,,
Australia,2001,Housing and community amenities,2543,,
Australia,2001,Health,23604,,
Australia,2001,Education,22339,,
Australia,2001,Social protection,40554,,
Australia,2001,General public services,17270,,
Australia,2001,Defence,7756,,
Australia,2001,Public order and safety,6707,,
Australia,2001,"Recreation, culture and religion",3666,,
Australia,2001,"General economic, commercial and labour affairs",1012,,
Australia,2001,Other industries,341,,
Australia,2001,RandD Economic affairs,32,,
Australia,2001,Economic affairs n.e.c.,1195,,
Australia,2002,Total function,159275,,
Australia,2002,"Agriculture, forestry, fishing and hunting",2214,,
Australia,2002,"Mining, manufacturing and construction",1199,,
Australia,2002,Transport,11335,,
Australia,2002,Communication,432,,
Australia,2002,Fuel and energy,2129,,
Australia,2002,Environment protection,2411,,
Australia,2002,Housing and community amenities,2821,,
Australia,2002,Health,26442,,
Australia,2002,Education,24663,,
Australia,2002,Social protection,43771,,
Australia,2002,General public services,18245,,
Australia,2002,Defence,9168,,
Australia,2002,Public order and safety,7577,,
Australia,2002,"Recreation, culture and religion",4067,,
Australia,2002,"General economic, commercial and labour affairs",1225,,
Australia,2002,Other industries,418,,
Australia,2002,RandD Economic affairs,26,,
Australia,2002,Economic affairs n.e.c.,1131,,
Australia,2003,Total function,203413,,
Australia,2003,"Agriculture, forestry, fishing and hunting",2705,,
Australia,2003,"Mining, manufacturing and construction",1581,,
Australia,2003,Transport,15157,,
Australia,2003,Communication,314,,
Australia,2003,Fuel and energy,2845,,
Australia,2003,Environment protection,2992,,
Australia,2003,Housing and community amenities,3675,,
Australia,2003,Health,34097,,
Australia,2003,Education,31344,,
Australia,2003,Social protection,58197,,
Australia,2003,General public services,21592,,
Australia,2003,Defence,10387,,
Australia,2003,Public order and safety,9945,,
Australia,2003,"Recreation, culture and religion",5396,,
Australia,2003,"General economic, commercial and labour affairs",1338,,
Australia,2003,Other industries,459,,
Australia,2003,RandD Economic affairs,33,,
Australia,2003,Economic affairs n.e.c.,1357,,
Australia,2004,Total function,247286,,
Australia,2004,"Agriculture, forestry, fishing and hunting",2757,,
Australia,2004,"Mining, manufacturing and construction",2012,,
Australia,2004,Transport,16958,,
Australia,2004,Communication,442,,
Australia,2004,Fuel and energy,3796,,
Australia,2004,Environment protection,3964,,
Australia,2004,Housing and community amenities,4396,,
Australia,2004,Health,43474,,
Australia,2004,Education,38813,,
Australia,2004,Social protection,68849,,
Australia,2004,General public services,26887,,
Australia,2004,Defence,12926,,
Australia,2004,Public order and safety,11825,,
Australia,2004,"Recreation, culture and religion",6256,,
Australia,2004,"General economic, commercial and labour affairs",1734,,
Australia,2004,Other industries,659,,
Australia,2004,RandD Economic affairs,46,,
Australia,2004,Economic affairs n.e.c.,1491,,
Australia,2005,Total function,274650,,
Australia,2005,"Agriculture, forestry, fishing and hunting",3695,,
Australia,2005,"Mining, manufacturing and construction",2090,,
Australia,2005,Transport,19452,,
Australia,2005,Communication,496,,
Australia,2005,Fuel and energy,3901,,
Australia,2005,Environment protection,4584,,
Australia,2005,Housing and community amenities,5219,,
Australia,2005,Health,48392,,
Australia,2005,Education,42523,,
Australia,2005,Social protection,74895,,
Australia,2005,General public services,29660,,
Australia,2005,Defence,14788,,
Australia,2005,Public order and safety,13347,,
Australia,2005,"Recreation, culture and religion",7193,,
Australia,2005,"General economic, commercial and labour affairs",2005,,
Australia,2005,Other industries,639,,
Australia,2005,RandD Economic affairs,18,,
Australia,2005,Economic affairs n.e.c.,1753,,
Australia,2006,Total function,293915,,
Australia,2006,"Agriculture, forestry, fishing and hunting",3967,,
Australia,2006,"Mining, manufacturing and construction",2088,,
Australia,2006,Transport,21708,,
Australia,2006,Communication,481,,
Australia,2006,Fuel and energy,4060,,
Australia,2006,Environment protection,5462,,
Australia,2006,Housing and community amenities,5664,,
Australia,2006,Health,51528,,
Australia,2006,Education,43984,,
Australia,2006,Social protection,79409,,
Australia,2006,General public services,31818,,
Australia,2006,Defence,16216,,
Australia,2006,Public order and safety,15021,,
Australia,2006,"Recreation, culture and religion",7617,,
Australia,2006,"General economic, commercial and labour affairs",2374,,
Australia,2006,Other industries,628,,
Australia,2006,RandD Economic affairs,20,,
Australia,2006,Economic affairs n.e.c.,1870,,
Australia,2007,Total function,351380,,
Australia,2007,"Agriculture, forestry, fishing and hunting",5461,,
Australia,2007,"Mining, manufacturing and construction",2033,,
Australia,2007,Transport,26826,,
Australia,2007,Communication,499,,
Australia,2007,Fuel and energy,5358,,
Australia,2007,Environment protection,6549,,
Australia,2007,Housing and community amenities,7382,,
Australia,2007,Health,62895,,
Australia,2007,Education,52590,,
Australia,2007,Social protection,93793,,
Australia,2007,General public services,36492,,
Australia,2007,Defence,18224,,
Australia,2007,Public order and safety,18001,,
