Country Name,Year,Government Expenditure,US_dollars_at_current_prices_in_millions_Value,Unnamed: 4,Unnamed: 5,Country Code
Afghanistan,2010,"Agriculture, forestry, fishing and hunting",604.0,,,
Afghanistan,2010,"Mining, manufacturing and construction",44.0,,,
Afghanistan,2010,Transport,655.0,,,
Afghanistan,2010,Communication,173.0,,,
Afghanistan,2010,Fuel and energy,272.0,,,
Afghanistan,2010,Environment protection,17.0,,,
Afghanistan,2010,Housing and community amenities,96.0,,,
Afghanistan,2010,Health,393.0,,,
Afghanistan,2010,Education,825.0,,,
Afghanistan,2010,Social protection,824.0,,,
Afghanistan,2010,General public services,787.0,,,
Afghanistan,2010,Defence,4193.0,,,
Afghanistan,2010,Public order and safety,3402.0,,,
Afghanistan,2010,"Recreation, culture and religion",59.0,,,
Afghanistan,2011,Total function,17212.0,,,
Afghanistan,2011,Environment protection,65.0,,,
Afghanistan,2011,Housing and community amenities,124.0,,,
Afghanistan,2011,Health,667.0,,,
Afghanistan,2011,Education,886.0,,,
Afghanistan,2011,Social protection,367.0,,,
Afghanistan,2011,General public services,1102.0,,,
Afghanistan,2011,Defence,6648.0,,,
Afghanistan,2011,Public order and safety,4467.0,,,
Afghanistan,2011,"Recreation, culture and religion",75.0,,,
Afghanistan,2012,Total function,13683.0,,,
Afghanistan,2012,Environment protection,56.0,,,
Afghanistan,2012,Housing and community amenities,110.0,,,
Afghanistan,2012,Health,444.0,,,
Afghanistan,2012,Education,888.0,,,
Afghanistan,2012,Social protection,319.0,,,
Afghanistan,2012,General public services,1082.0,,,
Afghanistan,2012,Defence,5528.0,,,
Afghanistan,2012,Public order and safety,2895.0,,,
Afghanistan,2012,"Recreation, culture and religion",68.0,,,
Afghanistan,2013,Total function,13417.0,,,
Afghanistan,2013,"Agriculture, forestry, fishing and hunting",243.0,,,
Afghanistan,2013,"Mining, manufacturing and construction",11.0,,,
Afghanistan,2013,Transport,358.0,,,
Afghanistan,2013,Communication,32.0,,,
Afghanistan,2013,Fuel and energy,50.0,,,
Afghanistan,2013,Environment protection,60.0,,,
Afghanistan,2013,Housing and community amenities,73.0,,,
Afghanistan,2013,Health,367.0,,,
Afghanistan,2013,Education,957.0,,,
Afghanistan,2013,Social protection,198.0,,,
Afghanistan,2013,General public services,623.0,,,
Afghanistan,2013,Defence,6246.0,,,
Afghanistan,2013,Public order and safety,2921.0,,,
Afghanistan,2013,"Recreation, culture and religion",60.0,,,
Afghanistan,2014,Total function,12258.0,,,
Afghanistan,2014,Transport,283.0,,,
Afghanistan,2014,Environment protection,39.0,,,
Afghanistan,2014,Housing and community amenities,45.0,,,
Afghanistan,2014,Health,434.0,,,
Afghanistan,2014,Education,976.0,,,
Afghanistan,2014,Social protection,514.0,,,
Afghanistan,2014,General public services,671.0,,,
Afghanistan,2014,Defence,5124.0,,,
Afghanistan,2014,Public order and safety,2581.0,,,
Afghanistan,2014,"Recreation, culture and religion",50.0,,,
Afghanistan,2015,Total function,11106.0,,,
Afghanistan,2015,Environment protection,18.0,,,
Afghanistan,2015,Housing and community amenities,58.0,,,
Afghanistan,2015,Health,302.0,,,
Afghanistan,2015,Education,809.0,,,
Afghanistan,2015,Social protection,293.0,,,
Afghanistan,2015,General public services,562.0,,,
Afghanistan,2015,Defence,5122.0,,,
Afghanistan,2015,Public order and safety,2547.0,,,
Afghanistan,2015,"Recreation, culture and religion",43.0,,,
Afghanistan,2016,Total function,9299.0,,,
Afghanistan,2016,"Agriculture, forestry, fishing and hunting",312.0,,,
Afghanistan,2016,"Mining, manufacturing and construction",38.0,,,
Afghanistan,2016,Transport,468.0,,,
Afghanistan,2016,Communication,39.0,,,
Afghanistan,2016,Fuel and energy,233.0,,,
Afghanistan,2016,Environment protection,25.0,,,
Afghanistan,2016,Housing and community amenities,255.0,,,
Afghanistan,2016,Health,365.0,,,
Afghanistan,2016,Education,768.0,,,
Afghanistan,2016,Social protection,508.0,,,
Afghanistan,2016,General public services,631.0,,,
Afghanistan,2016,Defence,3469.0,,,
Afghanistan,2016,Public order and safety,1741.0,,,
Afghanistan,2016,"Recreation, culture and religion",56.0,,,
Afghanistan,2016,"General economic, commercial and labour affairs",187.0,,,
Afghanistan,2016,Other industries,198.0,,,
Afghanistan,2016,RandD Economic affairs,8.0,,,
Afghanistan,2016,Economic affairs n.e.c.,0.0,,,
Afghanistan,2017,Total function,9096.0,,,
Afghanistan,2017,"Agriculture, forestry, fishing and hunting",288.0,,,
Afghanistan,2017,"Mining, manufacturing and construction",31.0,,,
Afghanistan,2017,Transport,399.0,,,
Afghanistan,2017,Communication,50.0,,,
Afghanistan,2017,Fuel and energy,327.0,,,
Afghanistan,2017,Environment protection,35.0,,,
Afghanistan,2017,Housing and community amenities,122.0,,,
Afghanistan,2017,Health,406.0,,,
Afghanistan,2017,Education,746.0,,,
Afghanistan,2017,Social protection,374.0,,,
Afghanistan,2017,General public services,528.0,,,
Afghanistan,2017,Defence,3303.0,,,
Afghanistan,2017,Public order and safety,1781.0,,,
Afghanistan,2017,"Recreation, culture and religion",60.0,,,
Afghanistan,2017,"General economic, commercial and labour affairs",415.0,,,
Afghanistan,2017,Other industries,217.0,,,
Afghanistan,2017,RandD Economic affairs,13.0,,,
Afghanistan,2017,Economic affairs n.e.c.,0.0,,,
Albania,2005,Total function,2324.0,,,
Albania,2005,"Agriculture, forestry, fishing and hunting",50.0,,,
Albania,2005,"Mining, manufacturing and construction",0.0,,,
Albania,2005,Transport,187.0,,,
Albania,2005,Communication,0.0,,,
Albania,2005,Fuel and energy,25.0,,,
Albania,2005,Environment protection,0.0,,,
Albania,2005,Housing and community amenities,141.0,,,
Albania,2005,Health,216.0,,,
Albania,2005,Education,264.0,,,
Albania,2005,Social protection,610.0,,,
Albania,2005,General public services,573.0,,,
Albania,2005,Defence,84.0,,,
Albania,2005,Public order and safety,142.0,,,
Albania,2005,"Recreation, culture and religion",31.0,,,
Albania,2005,"General economic, commercial and labour affairs",0.0,,,
Albania,2005,Other industries,0.0,,,
Albania,2005,RandD Economic affairs,0.0,,,
Albania,2005,Economic affairs n.e.c.,0.0,,,
Albania,2006,Total function,2637.0,,,
Albania,2006,"Agriculture, forestry, fishing and hunting",57.0,,,
Albania,2006,"Mining, manufacturing and construction",0.0,,,
Albania,2006,Transport,311.0,,,
Albania,2006,Communication,0.0,,,
Albania,2006,Fuel and energy,34.0,,,
Albania,2006,Environment protection,0.0,,,
Albania,2006,Housing and community amenities,149.0,,,
Albania,2006,Health,217.0,,,
Albania,2006,Education,284.0,,,
Albania,2006,Social protection,701.0,,,
Albania,2006,General public services,569.0,,,
Albania,2006,Defence,117.0,,,
Albania,2006,Public order and safety,165.0,,,
Albania,2006,"Recreation, culture and religion",33.0,,,
Albania,2006,"General economic, commercial and labour affairs",0.0,,,
Albania,2006,Other industries,0.0,,,
Albania,2006,RandD Economic affairs,0.0,,,
Albania,2006,Economic affairs n.e.c.,0.0,,,
Albania,2007,Total function,3158.0,,,
Albania,2007,Environment protection,1.0,,,
Albania,2007,Housing and community amenities,140.0,,,
Albania,2007,Health,267.0,,,
Albania,2007,Education,350.0,,,
Albania,2007,Social protection,856.0,,,
Albania,2007,General public services,601.0,,,
Albania,2007,Defence,127.0,,,
Albania,2007,Public order and safety,168.0,,,
Albania,2007,"Recreation, culture and religion",36.0,,,
Albania,2008,Total function,4189.0,,,
Albania,2008,Environment protection,2.0,,,
Albania,2008,Housing and community amenities,197.0,,,
Albania,2008,Health,318.0,,,
Albania,2008,Education,452.0,,,
Albania,2008,Social protection,1026.0,,,
Albania,2008,General public services,854.0,,,
Albania,2008,Defence,143.0,,,
Albania,2008,Public order and safety,193.0,,,
Albania,2008,"Recreation, culture and religion",48.0,,,
Albania,2010,Total function,3544.0,,,
Albania,2010,Environment protection,1.0,,,
Albania,2010,Housing and community amenities,225.0,,,
Albania,2010,Health,314.0,,,
Albania,2010,Education,407.0,,,
Albania,2010,Social protection,982.0,,,
Albania,2010,General public services,699.0,,,
Albania,2010,Defence,128.0,,,
Albania,2010,Public order and safety,186.0,,,
Albania,2010,"Recreation, culture and religion",38.0,,,
Albania,2011,Total function,3760.0,,,
Albania,2011,"Agriculture, forestry, fishing and hunting",62.0,,,
Albania,2011,"Mining, manufacturing and construction",3.0,,,
Albania,2011,Transport,446.0,,,
Albania,2011,Communication,0.0,,,
Albania,2011,Fuel and energy,0.0,,,
Albania,2011,Environment protection,7.0,,,
Albania,2011,Housing and community amenities,235.0,,,
Albania,2011,Health,349.0,,,
Albania,2011,Education,418.0,,,
Albania,2011,Social protection,1065.0,,,
Albania,2011,General public services,774.0,,,
Albania,2011,Defence,126.0,,,
Albania,2011,Public order and safety,208.0,,,
Albania,2011,"Recreation, culture and religion",45.0,,,
Albania,2011,"General economic, commercial and labour affairs",18.0,,,
Albania,2011,Other industries,1.0,,,
Albania,2011,RandD Economic affairs,2.0,,,
Albania,2011,Economic affairs n.e.c.,1.0,,,
Albania,2012,Total function,3506.0,,,
Albania,2012,"Agriculture, forestry, fishing and hunting",55.0,,,
Albania,2012,"Mining, manufacturing and construction",3.0,,,
Albania,2012,Transport,351.0,,,
Albania,2012,Communication,0.0,,,
Albania,2012,Fuel and energy,19.0,,,
Albania,2012,Environment protection,4.0,,,
Albania,2012,Housing and community amenities,211.0,,,
Albania,2012,Health,346.0,,,
Albania,2012,Education,408.0,,,
Albania,2012,Social protection,1055.0,,,
Albania,2012,General public services,676.0,,,
Albania,2012,Defence,118.0,,,
Albania,2012,Public order and safety,196.0,,,
Albania,2012,"Recreation, culture and religion",44.0,,,
Albania,2012,"General economic, commercial and labour affairs",17.0,,,
Albania,2012,Other industries,1.0,,,
Albania,2012,RandD Economic affairs,2.0,,,
Albania,2012,Economic affairs n.e.c.,1.0,,,
Albania,2013,Total function,3715.0,,,
Albania,2013,"Agriculture, forestry, fishing and hunting",65.0,,,
Albania,2013,"Mining, manufacturing and construction",2.0,,,
Albania,2013,Transport,461.0,,,
Albania,2013,Communication,0.0,,,
Albania,2013,Environment protection,6.0,,,
Albania,2013,Housing and community amenities,233.0,,,
Albania,2013,Health,358.0,,,
Albania,2013,Education,430.0,,,
Albania,2013,Social protection,1169.0,,,
Albania,2013,General public services,773.0,,,
Albania,2013,Defence,127.0,,,
Albania,2013,Public order and safety,195.0,,,
Albania,2013,"Recreation, culture and religion",39.0,,,
Albania,2013,"General economic, commercial and labour affairs",9.0,,,
Albania,2013,Other industries,1.0,,,
Albania,2013,RandD Economic affairs,2.0,,,
Albania,2013,Economic affairs n.e.c.,2.0,,,
Albania,2014,Total function,3873.0,,,
Albania,2014,"Agriculture, forestry, fishing and hunting",67.0,,,
Albania,2014,"Mining, manufacturing and construction",5.0,,,
Albania,2014,Transport,288.0,,,
Albania,2014,Communication,0.0,,,
Albania,2014,Fuel and energy,56.0,,,
Albania,2014,Environment protection,9.0,,,
Albania,2014,Housing and community amenities,285.0,,,
Albania,2014,Health,363.0,,,
Albania,2014,Education,426.0,,,
Albania,2014,Social protection,1221.0,,,
Albania,2014,General public services,734.0,,,
Albania,2014,Defence,108.0,,,
Albania,2014,Public order and safety,224.0,,,
Albania,2014,"Recreation, culture and religion",56.0,,,
Albania,2014,"General economic, commercial and labour affairs",12.0,,,
Albania,2014,Other industries,1.0,,,
Albania,2014,RandD Economic affairs,2.0,,,
Albania,2014,Economic affairs n.e.c.,15.0,,,
Albania,2015,Total function,3375.0,,,
Albania,2015,"Agriculture, forestry, fishing and hunting",66.0,,,
Albania,2015,"Mining, manufacturing and construction",6.0,,,
Albania,2015,Transport,285.0,,,
Albania,2015,Communication,0.0,,,
Albania,2015,Fuel and energy,59.0,,,
Albania,2015,Environment protection,11.0,,,
Albania,2015,Housing and community amenities,220.0,,,
Albania,2015,Health,312.0,,,
Albania,2015,Education,352.0,,,
Albania,2015,Social protection,1041.0,,,
Albania,2015,General public services,638.0,,,
Albania,2015,Defence,82.0,,,
Albania,2015,Public order and safety,199.0,,,
Albania,2015,"Recreation, culture and religion",51.0,,,
Albania,2015,"General economic, commercial and labour affairs",9.0,,,
Albania,2015,Other industries,1.0,,,
Albania,2015,RandD Economic affairs,2.0,,,
Albania,2015,Economic affairs n.e.c.,41.0,,,
Albania,2016,Total function,3427.0,,,
Albania,2016,"Agriculture, forestry, fishing and hunting",101.0,,,
Albania,2016,"Mining, manufacturing and construction",6.0,,,
Albania,2016,Transport,235.0,,,
Albania,2016,Communication,0.0,,,
Albania,2016,Fuel and energy,4.0,,,
Albania,2016,Environment protection,22.0,,,
Albania,2016,Housing and community amenities,204.0,,,
Albania,2016,Health,337.0,,,
Albania,2016,Education,371.0,,,
Albania,2016,Social protection,1122.0,,,
Albania,2016,General public services,673.0,,,
Albania,2016,Defence,83.0,,,
Albania,2016,Public order and safety,205.0,,,
Albania,2016,"Recreation, culture and religion",51.0,,,
Albania,2016,"General economic, commercial and labour affairs",9.0,,,
Albania,2016,Other industries,2.0,,,
Albania,2016,RandD Economic affairs,1.0,,,
Albania,2016,Economic affairs n.e.c.,1.0,,,
Albania,2017,Total function,3806.0,,,
Albania,2017,"Agriculture, forestry, fishing and hunting",84.0,,,
Albania,2017,"Mining, manufacturing and construction",6.0,,,
Albania,2017,Transport,314.0,,,
Albania,2017,Communication,0.0,,,
Albania,2017,Fuel and energy,25.0,,,
Albania,2017,Environment protection,24.0,,,
Albania,2017,Housing and community amenities,295.0,,,
Albania,2017,Health,381.0,,,
Albania,2017,Education,402.0,,,
Albania,2017,Social protection,1210.0,,,
Albania,2017,General public services,670.0,,,
Albania,2017,Defence,92.0,,,
Albania,2017,Public order and safety,224.0,,,
Albania,2017,"Recreation, culture and religion",54.0,,,
Albania,2017,"General economic, commercial and labour affairs",7.0,,,
Albania,2017,Other industries,2.0,,,
Albania,2017,RandD Economic affairs,2.0,,,
Albania,2017,Economic affairs n.e.c.,13.0,,,
Albania,2018,Total function,4356.0,,,
Albania,2018,"Agriculture, forestry, fishing and hunting",96.0,,,
Albania,2018,"Mining, manufacturing and construction",7.0,,,
Albania,2018,Transport,307.0,,,
Albania,2018,Communication,0.0,,,
Albania,2018,Fuel and energy,1.0,,,
Albania,2018,Environment protection,13.0,,,
Albania,2018,Housing and community amenities,354.0,,,
Albania,2018,Health,454.0,,,
Albania,2018,Education,478.0,,,
Albania,2018,Social protection,1400.0,,,
Albania,2018,General public services,795.0,,,
Albania,2018,Defence,103.0,,,
Albania,2018,Public order and safety,264.0,,,
Albania,2018,"Recreation, culture and religion",68.0,,,
Albania,2018,"General economic, commercial and labour affairs",10.0,,,
Albania,2018,Other industries,3.0,,,
Albania,2018,RandD Economic affairs,2.0,,,
Albania,2018,Economic affairs n.e.c.,2.0,,,
Albania,2019,Total function,4446.0,,,
Albania,2019,"Agriculture, forestry, fishing and hunting",79.0,,,
Albania,2019,"Mining, manufacturing and construction",5.0,,,
Albania,2019,Transport,309.0,,,
Albania,2019,Communication,0.0,,,
Albania,2019,Fuel and energy,19.0,,,
Albania,2019,Environment protection,28.0,,,
Albania,2019,Housing and community amenities,333.0,,,
Albania,2019,Health,466.0,,,
Albania,2019,Education,507.0,,,
Albania,2019,Social protection,1447.0,,,
Albania,2019,General public services,764.0,,,
Albania,2019,Defence,121.0,,,
Albania,2019,Public order and safety,281.0,,,
Albania,2019,"Recreation, culture and religion",67.0,,,
Albania,2019,"General economic, commercial and labour affairs",9.0,,,
Albania,2019,Other industries,6.0,,,
Albania,2019,RandD Economic affairs,4.0,,,
Albania,2019,Economic affairs n.e.c.,2.0,,,
Albania,2020,Total function,4918.0,,,
Albania,2020,"Agriculture, forestry, fishing and hunting",110.0,,,
Albania,2020,"Mining, manufacturing and construction",6.0,,,
Albania,2020,Transport,341.0,,,
Albania,2020,Communication,0.0,,,
Albania,2020,Fuel and energy,2.0,,,
Albania,2020,Environment protection,49.0,,,
Albania,2020,Housing and community amenities,476.0,,,
Albania,2020,Health,475.0,,,
Albania,2020,Education,498.0,,,
Albania,2020,Social protection,1636.0,,,
Albania,2020,General public services,767.0,,,
Albania,2020,Defence,116.0,,,
Albania,2020,Public order and safety,298.0,,,
Albania,2020,"Recreation, culture and religion",63.0,,,
Albania,2020,"General economic, commercial and labour affairs",10.0,,,
Albania,2020,Other industries,7.0,,,
Albania,2020,RandD Economic affairs,4.0,,,
Albania,2020,Economic affairs n.e.c.,60.0,,,
Albania,2021,Total function,5737.0,,,
Albania,2021,"Agriculture, forestry, fishing and hunting",146.0,,,
Albania,2021,"Mining, manufacturing and construction",6.0,,,
Albania,2021,Transport,437.0,,,
Albania,2021,Communication,2.0,,,
Albania,2021,Fuel and energy,9.0,,,
Albania,2021,Environment protection,53.0,,,
Albania,2021,Housing and community amenities,635.0,,,
Albania,2021,Health,614.0,,,
Albania,2021,Education,564.0,,,
Albania,2021,Social protection,1746.0,,,
Albania,2021,General public services,879.0,,,
Albania,2021,Defence,136.0,,,
Albania,2021,Public order and safety,335.0,,,
Albania,2021,"Recreation, culture and religion",73.0,,,
Albania,2021,"General economic, commercial and labour affairs",10.0,,,
Albania,2021,Other industries,5.0,,,
Albania,2021,RandD Economic affairs,59.0,,,
Albania,2021,Economic affairs n.e.c.,29.0,,,
Armenia,2004,Total function,728.0,,,
Armenia,2005,Total function,1041.0,,,
Armenia,2006,Total function,1358.0,,,
Armenia,2007,Total function,2162.0,,,
Armenia,2008,Total function,2853.0,,,
Armenia,2009,Total function,2699.0,,,
Armenia,2010,Total function,2699.0,,,
Armenia,2011,Total function,2882.0,,,
Armenia,2012,Total function,2715.0,,,
Armenia,2013,Total function,2899.0,,,
Armenia,2013,"Agriculture, forestry, fishing and hunting",52.0,,,
Armenia,2013,"Mining, manufacturing and construction",0.0,,,
Armenia,2013,Transport,153.0,,,
Armenia,2013,Communication,1.0,,,
Armenia,2013,Fuel and energy,156.0,,,
Armenia,2013,Environment protection,39.0,,,
Armenia,2013,Housing and community amenities,78.0,,,
Armenia,2013,Health,159.0,,,
Armenia,2013,Education,254.0,,,
Armenia,2013,Social protection,734.0,,,
Armenia,2013,General public services,547.0,,,
Armenia,2013,Defence,444.0,,,
Armenia,2013,Public order and safety,223.0,,,
Armenia,2013,"Recreation, culture and religion",65.0,,,
Armenia,2013,"General economic, commercial and labour affairs",7.0,,,
Armenia,2013,Other industries,0.0,,,
Armenia,2013,RandD Economic affairs,2.0,,,
Armenia,2014,Total function,3216.0,,,
Armenia,2015,Total function,3124.0,,,
Armenia,2016,Total function,3199.0,,,
Armenia,2017,Total function,3177.0,,,
Armenia,2017,"Agriculture, forestry, fishing and hunting",90.0,,,
Armenia,2017,"Mining, manufacturing and construction",0.0,,,
Armenia,2017,Transport,125.0,,,
Armenia,2017,Communication,1.0,,,
Armenia,2017,Fuel and energy,22.0,,,
Armenia,2017,Environment protection,38.0,,,
Armenia,2017,Housing and community amenities,44.0,,,
Armenia,2017,Health,176.0,,,
Armenia,2017,Education,282.0,,,
Armenia,2017,Social protection,847.0,,,
Armenia,2017,General public services,604.0,,,
Armenia,2017,Defence,610.0,,,
Armenia,2017,Public order and safety,254.0,,,
Armenia,2017,"Recreation, culture and religion",77.0,,,
Armenia,2017,"General economic, commercial and labour affairs",8.0,,,
Armenia,2017,Other industries,0.0,,,
Armenia,2017,RandD Economic affairs,1.0,,,
Armenia,2018,Total function,3127.0,,,
Armenia,2018,"Agriculture, forestry, fishing and hunting",58.0,,,
Armenia,2018,"Mining, manufacturing and construction",0.0,,,
Armenia,2018,Transport,170.0,,,
Armenia,2018,Communication,1.0,,,
Armenia,2018,Fuel and energy,35.0,,,
Armenia,2018,Environment protection,47.0,,,
Armenia,2018,Housing and community amenities,45.0,,,
Armenia,2018,Health,170.0,,,
Armenia,2018,Education,281.0,,,
Armenia,2018,Social protection,862.0,,,
Armenia,2018,General public services,626.0,,,
Armenia,2018,Defence,494.0,,,
Armenia,2018,Public order and safety,255.0,,,
Armenia,2018,"Recreation, culture and religion",75.0,,,
Armenia,2018,"General economic, commercial and labour affairs",9.0,,,
Armenia,2018,Other industries,1.0,,,
Armenia,2018,RandD Economic affairs,1.0,,,
Armenia,2019,Total function,3501.0,,,
Armenia,2019,"Agriculture, forestry, fishing and hunting",70.0,,,
Armenia,2019,"Mining, manufacturing and construction",0.0,,,
Armenia,2019,Transport,175.0,,,
Armenia,2019,Communication,1.0,,,
Armenia,2019,Fuel and energy,14.0,,,
Armenia,2019,Environment protection,46.0,,,
Armenia,2019,Housing and community amenities,62.0,,,
Armenia,2019,Health,208.0,,,
Armenia,2019,Education,350.0,,,
Armenia,2019,Social protection,912.0,,,
Armenia,2019,General public services,619.0,,,
Armenia,2019,Defence,657.0,,,
Armenia,2019,Public order and safety,299.0,,,
Armenia,2019,"Recreation, culture and religion",85.0,,,
Armenia,2019,"General economic, commercial and labour affairs",8.0,,,
Armenia,2019,Other industries,1.0,,,
Armenia,2019,RandD Economic affairs,1.0,,,
Armenia,2020,Total function,3936.0,,,
Armenia,2020,"Agriculture, forestry, fishing and hunting",69.0,,,
Armenia,2020,"Mining, manufacturing and construction",0.0,,,
Armenia,2020,Transport,204.0,,,
Armenia,2020,Communication,1.0,,,
Armenia,2020,Fuel and energy,3.0,,,
Armenia,2020,Environment protection,43.0,,,
Armenia,2020,Housing and community amenities,46.0,,,
Armenia,2020,Health,301.0,,,
Armenia,2020,Education,377.0,,,
Armenia,2020,Social protection,1073.0,,,
Armenia,2020,General public services,626.0,,,
Armenia,2020,Defence,793.0,,,
Armenia,2020,Public order and safety,310.0,,,
Armenia,2020,"Recreation, culture and religion",74.0,,,
Armenia,2020,"General economic, commercial and labour affairs",35.0,,,
Armenia,2020,Other industries,0.0,,,
Armenia,2020,RandD Economic affairs,1.0,,,
Armenia,2021,Total function,4063.0,,,
Armenia,2021,"Agriculture, forestry, fishing and hunting",96.0,,,
Armenia,2021,"Mining, manufacturing and construction",0.0,,,
Armenia,2021,Transport,256.0,,,
Armenia,2021,Communication,1.0,,,
Armenia,2021,Fuel and energy,7.0,,,
Armenia,2021,Environment protection,50.0,,,
Armenia,2021,Housing and community amenities,51.0,,,
Armenia,2021,Health,318.0,,,
Armenia,2021,Education,393.0,,,
Armenia,2021,Social protection,1151.0,,,
Armenia,2021,General public services,683.0,,,
Armenia,2021,Defence,667.0,,,
Armenia,2021,Public order and safety,318.0,,,
Armenia,2021,"Recreation, culture and religion",82.0,,,
Armenia,2021,"General economic, commercial and labour affairs",34.0,,,
Armenia,2021,Other industries,0.0,,,
Armenia,2021,RandD Economic affairs,2.0,,,
Australia,2000,Total function,153123.0,,,AUS
Australia,2000,"Agriculture, forestry, fishing and hunting",2196.0,,,AUS
Australia,2000,"Mining, manufacturing and construction",905.0,,,AUS
Australia,2000,Transport,11417.0,,,AUS
Australia,2000,Fuel and energy,2251.0,,,AUS
Australia,2000,Environment protection,2052.0,,,AUS
Australia,2000,Housing and community amenities,2530.0,,,AUS
Australia,2000,Health,24072.0,,,AUS
Australia,2000,Education,23067.0,,,AUS
Australia,2000,Social protection,43607.0,,,AUS
Australia,2000,General public services,20083.0,,,AUS
Australia,2000,Defence,8058.0,,,AUS
Australia,2000,Public order and safety,6841.0,,,AUS
Australia,2000,"Recreation, culture and religion",4097.0,,,AUS
Australia,2000,"General economic, commercial and labour affairs",828.0,,,AUS
Australia,2000,Other industries,332.0,,,AUS
Australia,2000,RandD Economic affairs,36.0,,,AUS
Australia,2000,Economic affairs n.e.c.,1226.0,,,AUS
Australia,2001,Total function,145149.0,,,AUS
Australia,2001,"Agriculture, forestry, fishing and hunting",2024.0,,,AUS
Australia,2001,"Mining, manufacturing and construction",1508.0,,,AUS
Australia,2001,Transport,10073.0,,,AUS
Australia,2001,Communication,289.0,,,AUS
Australia,2001,Fuel and energy,2169.0,,,AUS
Australia,2001,Environment protection,2068.0,,,AUS
Australia,2001,Housing and community amenities,2543.0,,,AUS
Australia,2001,Health,23604.0,,,AUS
Australia,2001,Education,22339.0,,,AUS
Australia,2001,Social protection,40554.0,,,AUS
Australia,2001,General public services,17270.0,,,AUS
Australia,2001,Defence,7756.0,,,AUS
Australia,2001,Public order and safety,6707.0,,,AUS
Australia,2001,"Recreation, culture and religion",3666.0,,,AUS
Australia,2001,"General economic, commercial and labour affairs",1012.0,,,AUS
Australia,2001,Other industries,341.0,,,AUS
Australia,2001,RandD Economic affairs,32.0,,,AUS
Australia,2001,Economic affairs n.e.c.,1195.0,,,AUS
Australia,2002,Total function,159275.0,,,AUS
Australia,2002,"Agriculture, forestry, fishing and hunting",2214.0,,,AUS
Australia,2002,"Mining, manufacturing and construction",1199.0,,,AUS
Australia,2002,Transport,11335.0,,,AUS
Australia,2002,Communication,432.0,,,AUS
Australia,2002,Fuel and energy,2129.0,,,AUS
