STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,LOCATION,Country,INDICATOR,Indicator,SUBJECT,Subject,MEASURE,Measure,FREQUENCY,Frequency,TIME_PERIOD,Time,OBS_VALUE,Observation Value,OBS_STATUS,Observation Status,UNIT_MEASURE,Unit of Measures,UNIT_MULT,Multiplier,BASE_PER,Base reference period
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,AUS,Australia,SOCEXP,Social spending,PUB,Public,PC_GDP,% of GDP,A,Annual,1995,,16.88,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,AUS,Australia,SOCEXP,Social spending,PUB,Public,PC_GDP,% of GDP,A,Annual,1996,,16.998,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,AUS,Australia,SOCEXP,Social spending,PUB,Public,PC_GDP,% of GDP,A,Annual,1997,,16.765,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,AUS,Australia,SOCEXP,Social spending,PUB,Public,PC_GDP,% of GDP,A,Annual,1998,,17.588,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,AUS,Australia,SOCEXP,Social spending,PUB,Public,PC_GDP,% of GDP,A,Annual,1999,,17.225,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,AUS,Australia,SOCEXP,Social spending,PUB,Public,PC_GDP,% of GDP,A,Annual,2000,,18.21,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,AUS,Australia,SOCEXP,Social spending,PUB,Public,PC_GDP,% of GDP,A,Annual,2001,,17.509,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,AUS,Australia,SOCEXP,Social spending,PUB,Public,PC_GDP,% of GDP,A,Annual,2002,,17.314,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,AUS,Australia,SOCEXP,Social spending,PUB,Public,PC_GDP,% of GDP,A,Annual,2003,,17.498,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,AUS,Australia,SOCEXP,Social spending,PUB,Public,PC_GDP,% of GDP,A,Annual,2004,,17.197,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,AUS,Australia,SOCEXP,Social spending,PUB,Public,PC_GDP,% of GDP,A,Annual,2005,,16.66,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,AUS,Australia,SOCEXP,Social spending,PUB,Public,PC_GDP,% of GDP,A,Annual,2006,,15.699,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,AUS,Australia,SOCEXP,Social spending,PUB,Public,PC_GDP,% of GDP,A,Annual,2007,,15.858,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,AUS,Australia,SOCEXP,Social spending,PUB,Public,PC_GDP,% of GDP,A,Annual,2008,,17.05,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,AUS,Australia,SOCEXP,Social spending,PUB,Public,PC_GDP,% of GDP,A,Annual,2009,,16.853,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,AUS,Australia,SOCEXP,Social spending,PUB,Public,PC_GDP,% of GDP,A,Annual,2010,,16.553,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,AUS,Australia,SOCEXP,Social spending,PUB,Public,PC_GDP,% of GDP,A,Annual,2011,,17.02,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,AUS,Australia,SOCEXP,Social spending,PUB,Public,PC_GDP,% of GDP,A,Annual,2012,,17.308,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,AUS,Australia,SOCEXP,Social spending,PUB,Public,PC_GDP,% of GDP,A,Annual,2013,,17.263,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,AUS,Australia,SOCEXP,Social spending,PUB,Public,PC_GDP,% of GDP,A,Annual,2014,,17.804,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,AUS,Australia,SOCEXP,Social spending,PUB,Public,PC_GDP,% of GDP,A,Annual,2015,,18.207,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,AUS,Australia,SOCEXP,Social spending,PUB,Public,PC_GDP,% of GDP,A,Annual,2016,,17.476,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,AUS,Australia,SOCEXP,Social spending,PUB,Public,PC_GDP,% of GDP,A,Annual,2017,,17.077,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,AUS,Australia,SOCEXP,Social spending,PUB,Public,PC_GDP,% of GDP,A,Annual,2018,,16.638,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,AUS,Australia,SOCEXP,Social spending,PUB,Public,PC_GDP,% of GDP,A,Annual,2019,,20.451,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,AUT,Austria,SOCEXP,Social spending,PUB,Public,PC_GDP,% of GDP,A,Annual,1980,,21.906,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,AUT,Austria,SOCEXP,Social spending,PUB,Public,PC_GDP,% of GDP,A,Annual,1985,,23.205,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,AUT,Austria,SOCEXP,Social spending,PUB,Public,PC_GDP,% of GDP,A,Annual,1990,,23.263,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,AUT,Austria,SOCEXP,Social spending,PUB,Public,PC_GDP,% of GDP,A,Annual,1991,,23.584,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,AUT,Austria,SOCEXP,Social spending,PUB,Public,PC_GDP,% of GDP,A,Annual,1992,,24.276,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,AUT,Austria,SOCEXP,Social spending,PUB,Public,PC_GDP,% of GDP,A,Annual,1993,,25.675,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,AUT,Austria,SOCEXP,Social spending,PUB,Public,PC_GDP,% of GDP,A,Annual,1994,,26.614,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,AUT,Austria,SOCEXP,Social spending,PUB,Public,PC_GDP,% of GDP,A,Annual,1995,,26.556,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,AUT,Austria,SOCEXP,Social spending,PUB,Public,PC_GDP,% of GDP,A,Annual,1996,,26.678,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,AUT,Austria,SOCEXP,Social spending,PUB,Public,PC_GDP,% of GDP,A,Annual,1997,,26.18,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,AUT,Austria,SOCEXP,Social spending,PUB,Public,PC_GDP,% of GDP,A,Annual,1998,,25.98,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,AUT,Austria,SOCEXP,Social spending,PUB,Public,PC_GDP,% of GDP,A,Annual,1999,,26.329,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,AUT,Austria,SOCEXP,Social spending,PUB,Public,PC_GDP,% of GDP,A,Annual,2000,,26.043,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,AUT,Austria,SOCEXP,Social spending,PUB,Public,PC_GDP,% of GDP,A,Annual,2001,,26.092,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,AUT,Austria,SOCEXP,Social spending,PUB,Public,PC_GDP,% of GDP,A,Annual,2002,,26.396,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,AUT,Austria,SOCEXP,Social spending,PUB,Public,PC_GDP,% of GDP,A,Annual,2003,,26.933,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,AUT,Austria,SOCEXP,Social spending,PUB,Public,PC_GDP,% of GDP,A,Annual,2004,,26.719,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,AUT,Austria,SOCEXP,Social spending,PUB,Public,PC_GDP,% of GDP,A,Annual,2005,,26.337,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,AUT,Austria,SOCEXP,Social spending,PUB,Public,PC_GDP,% of GDP,A,Annual,2006,,26.063,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,AUT,Austria,SOCEXP,Social spending,PUB,Public,PC_GDP,% of GDP,A,Annual,2007,,25.477,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,AUT,Austria,SOCEXP,Social spending,PUB,Public,PC_GDP,% of GDP,A,Annual,2008,,25.947,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,AUT,Austria,SOCEXP,Social spending,PUB,Public,PC_GDP,% of GDP,A,Annual,2009,,27.957,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,AUT,Austria,SOCEXP,Social spending,PUB,Public,PC_GDP,% of GDP,A,Annual,2010,,28.052,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,AUT,Austria,SOCEXP,Social spending,PUB,Public,PC_GDP,% of GDP,A,Annual,2011,,27.231,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,AUT,Austria,SOCEXP,Social spending,PUB,Public,PC_GDP,% of GDP,A,Annual,2012,,27.611,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,AUT,Austria,SOCEXP,Social spending,PUB,Public,PC_GDP,% of GDP,A,Annual,2013,,28.031,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,AUT,Austria,SOCEXP,Social spending,PUB,Public,PC_GDP,% of GDP,A,Annual,2014,,28.255,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,AUT,Austria,SOCEXP,Social spending,PUB,Public,PC_GDP,% of GDP,A,Annual,2015,,28.261,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,AUT,Austria,SOCEXP,Social spending,PUB,Public,PC_GDP,% of GDP,A,Annual,2016,,28.197,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,AUT,Austria,SOCEXP,Social spending,PUB,Public,PC_GDP,% of GDP,A,Annual,2017,,27.826,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,AUT,Austria,SOCEXP,Social spending,PUB,Public,PC_GDP,% of GDP,A,Annual,2018,,27.561,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,AUT,Austria,SOCEXP,Social spending,PUB,Public,PC_GDP,% of GDP,A,Annual,2019,,27.708,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,AUT,Austria,SOCEXP,Social spending,PUB,Public,PC_GDP,% of GDP,A,Annual,2020,,31.108,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,AUT,Austria,SOCEXP,Social spending,PUB,Public,PC_GDP,% of GDP,A,Annual,2021,,31.061,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,AUT,Austria,SOCEXP,Social spending,PUB,Public,PC_GDP,% of GDP,A,Annual,2022,,29.356,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,BEL,Belgium,SOCEXP,Social spending,PUB,Public,PC_GDP,% of GDP,A,Annual,1980,,23.202,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,BEL,Belgium,SOCEXP,Social spending,PUB,Public,PC_GDP,% of GDP,A,Annual,1981,,24.752,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,BEL,Belgium,SOCEXP,Social spending,PUB,Public,PC_GDP,% of GDP,A,Annual,1982,,25.35,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,BEL,Belgium,SOCEXP,Social spending,PUB,Public,PC_GDP,% of GDP,A,Annual,1983,,25.634,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,BEL,Belgium,SOCEXP,Social spending,PUB,Public,PC_GDP,% of GDP,A,Annual,1984,,24.852,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,BEL,Belgium,SOCEXP,Social spending,PUB,Public,PC_GDP,% of GDP,A,Annual,1985,,25.689,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,BEL,Belgium,SOCEXP,Social spending,PUB,Public,PC_GDP,% of GDP,A,Annual,1986,,25.518,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,BEL,Belgium,SOCEXP,Social spending,PUB,Public,PC_GDP,% of GDP,A,Annual,1987,,25.289,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,BEL,Belgium,SOCEXP,Social spending,PUB,Public,PC_GDP,% of GDP,A,Annual,1988,,25.107,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,BEL,Belgium,SOCEXP,Social spending,PUB,Public,PC_GDP,% of GDP,A,Annual,1989,,24.262,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,BEL,Belgium,SOCEXP,Social spending,PUB,Public,PC_GDP,% of GDP,A,Annual,1990,,24.57,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,BEL,Belgium,SOCEXP,Social spending,PUB,Public,PC_GDP,% of GDP,A,Annual,1991,,25.335,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,BEL,Belgium,SOCEXP,Social spending,PUB,Public,PC_GDP,% of GDP,A,Annual,1992,,24.346,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,BEL,Belgium,SOCEXP,Social spending,PUB,Public,PC_GDP,% of GDP,A,Annual,1993,,25.4,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,BEL,Belgium,SOCEXP,Social spending,PUB,Public,PC_GDP,% of GDP,A,Annual,1994,,24.801,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,BEL,Belgium,SOCEXP,Social spending,PUB,Public,PC_GDP,% of GDP,A,Annual,1995,,25.304,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,BEL,Belgium,SOCEXP,Social spending,PUB,Public,PC_GDP,% of GDP,A,Annual,1996,,25.935,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,BEL,Belgium,SOCEXP,Social spending,PUB,Public,PC_GDP,% of GDP,A,Annual,1997,,24.929,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,BEL,Belgium,SOCEXP,Social spending,PUB,Public,PC_GDP,% of GDP,A,Annual,1998,,24.929,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,BEL,Belgium,SOCEXP,Social spending,PUB,Public,PC_GDP,% of GDP,A,Annual,1999,,24.73,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,BEL,Belgium,SOCEXP,Social spending,PUB,Public,PC_GDP,% of GDP,A,Annual,2000,,23.655,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,BEL,Belgium,SOCEXP,Social spending,PUB,Public,PC_GDP,% of GDP,A,Annual,2001,,24.123,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,BEL,Belgium,SOCEXP,Social spending,PUB,Public,PC_GDP,% of GDP,A,Annual,2002,,24.504,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,BEL,Belgium,SOCEXP,Social spending,PUB,Public,PC_GDP,% of GDP,A,Annual,2003,,25.061,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,BEL,Belgium,SOCEXP,Social spending,PUB,Public,PC_GDP,% of GDP,A,Annual,2004,,24.826,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,BEL,Belgium,SOCEXP,Social spending,PUB,Public,PC_GDP,% of GDP,A,Annual,2005,,24.685,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,BEL,Belgium,SOCEXP,Social spending,PUB,Public,PC_GDP,% of GDP,A,Annual,2006,,24.595,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,BEL,Belgium,SOCEXP,Social spending,PUB,Public,PC_GDP,% of GDP,A,Annual,2007,,24.339,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,BEL,Belgium,SOCEXP,Social spending,PUB,Public,PC_GDP,% of GDP,A,Annual,2008,,25.745,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,BEL,Belgium,SOCEXP,Social spending,PUB,Public,PC_GDP,% of GDP,A,Annual,2009,,27.979,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,BEL,Belgium,SOCEXP,Social spending,PUB,Public,PC_GDP,% of GDP,A,Annual,2010,,27.666,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,BEL,Belgium,SOCEXP,Social spending,PUB,Public,PC_GDP,% of GDP,A,Annual,2011,,28.101,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,BEL,Belgium,SOCEXP,Social spending,PUB,Public,PC_GDP,% of GDP,A,Annual,2012,,27.962,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,BEL,Belgium,SOCEXP,Social spending,PUB,Public,PC_GDP,% of GDP,A,Annual,2013,,28.34,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,BEL,Belgium,SOCEXP,Social spending,PUB,Public,PC_GDP,% of GDP,A,Annual,2014,,28.394,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,BEL,Belgium,SOCEXP,Social spending,PUB,Public,PC_GDP,% of GDP,A,Annual,2015,,29.055,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,BEL,Belgium,SOCEXP,Social spending,PUB,Public,PC_GDP,% of GDP,A,Annual,2016,,28.426,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,BEL,Belgium,SOCEXP,Social spending,PUB,Public,PC_GDP,% of GDP,A,Annual,2017,,28.275,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,BEL,Belgium,SOCEXP,Social spending,PUB,Public,PC_GDP,% of GDP,A,Annual,2018,,28.355,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,BEL,Belgium,SOCEXP,Social spending,PUB,Public,PC_GDP,% of GDP,A,Annual,2019,,28.218,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,BEL,Belgium,SOCEXP,Social spending,PUB,Public,PC_GDP,% of GDP,A,Annual,2020,,32.28,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,BEL,Belgium,SOCEXP,Social spending,PUB,Public,PC_GDP,% of GDP,A,Annual,2021,,29.705,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,BEL,Belgium,SOCEXP,Social spending,PUB,Public,PC_GDP,% of GDP,A,Annual,2022,,28.965,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,CAN,Canada,SOCEXP,Social spending,PUB,Public,PC_GDP,% of GDP,A,Annual,1980,,13.148,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,CAN,Canada,SOCEXP,Social spending,PUB,Public,PC_GDP,% of GDP,A,Annual,1981,,13.622,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,CAN,Canada,SOCEXP,Social spending,PUB,Public,PC_GDP,% of GDP,A,Annual,1982,,15.918,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,CAN,Canada,SOCEXP,Social spending,PUB,Public,PC_GDP,% of GDP,A,Annual,1983,,16.088,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,CAN,Canada,SOCEXP,Social spending,PUB,Public,PC_GDP,% of GDP,A,Annual,1984,,15.789,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,CAN,Canada,SOCEXP,Social spending,PUB,Public,PC_GDP,% of GDP,A,Annual,1985,,16.262,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,CAN,Canada,SOCEXP,Social spending,PUB,Public,PC_GDP,% of GDP,A,Annual,1986,,16.202,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,CAN,Canada,SOCEXP,Social spending,PUB,Public,PC_GDP,% of GDP,A,Annual,1987,,15.924,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,CAN,Canada,SOCEXP,Social spending,PUB,Public,PC_GDP,% of GDP,A,Annual,1988,,15.726,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,CAN,Canada,SOCEXP,Social spending,PUB,Public,PC_GDP,% of GDP,A,Annual,1989,,16.091,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,CAN,Canada,SOCEXP,Social spending,PUB,Public,PC_GDP,% of GDP,A,Annual,1990,,17.391,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,CAN,Canada,SOCEXP,Social spending,PUB,Public,PC_GDP,% of GDP,A,Annual,1991,,19.612,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,CAN,Canada,SOCEXP,Social spending,PUB,Public,PC_GDP,% of GDP,A,Annual,1992,,20.261,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,CAN,Canada,SOCEXP,Social spending,PUB,Public,PC_GDP,% of GDP,A,Annual,1993,,20.198,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,CAN,Canada,SOCEXP,Social spending,PUB,Public,PC_GDP,% of GDP,A,Annual,1994,,19.111,,A,,,,,,,
